title_id,person_id,role,character_name
the-heiress-blacklisted-her-husband,alex-pychtin,lead,
pregnant-by-the-billionaire,alex-pychtin,lead,
daddy-s-best-friend-made-me-his-billionaire-wife,alex-pychtin,lead,
makeup-sex,anina-net,lead,
my-two-faced-billionaire-husband,anina-net,lead,
pregnant-with-my-infertile-alpha-king,anina-net,lead,
you-belong-with-me,eric-taylor-guilmette,lead,
the-unwanted-mate,eric-taylor-guilmette,lead,
campus-rivals,eric-taylor-guilmette,lead,Producer
love-blood,eric-taylor-guilmette,lead,Producer/Creator
true-luna,grace-swanson,supporting,
summer-skies,grace-swanson,supporting,
fated-deal-with-the-mafia-king,jake-hobbs,lead,
the-return-of-my-drama-queen,jake-hobbs,lead,Nick Fontaine / General Lafayette
back-from-hell-to-take-my-bow,jake-hobbs,lead,
fated-to-my-forbidden-alpha,kasey-esser,lead,Alpha Alexander
your-husband-is-mine,kasey-esser,lead,
i-accidentally-hired-a-billionaire-husband,kasey-esser,lead,
hillbilly-girlie-marries-a-billionaire,kasey-esser,lead,
the-secret-of-my-billion-dollar-marriage,kasey-esser,lead,
goodbye-my-ceo,kasey-esser,lead,
the-alpha-s-daughter,kasey-esser,lead,
freeze-my-wanted-lover,kasey-esser,lead,
undercover-heiress,kasey-esser,lead,
my-alpha-my-forbidden-fate,kasey-esser,lead,
love-in-the-shadows,kasey-esser,lead,Producer
love-under-fire,kasey-esser,producer,
billionaire-ceo-s-obsession,nick-ritacco,lead,
fated-to-my-forbidden-vampire,nick-ritacco,lead,
surrender-to-my-dangerous-boss,nick-ritacco,lead,
fated-to-my-fiance-s-alpha-daddy,nick-ritacco,supporting,
fated-to-the-alpha,noah-fearnley,lead,
queen-mom-rules,jake-hobbs,lead,Nolan Sterling
escorting-the-heiress,noah-fearnley,lead,
the-lost-prima-ballerina,jake-hobbs,lead,
find-your-way-back-to-me-my-childhood-sweetheart,noah-fearnley,lead,
stop-crying-i-married-someone-better,jake-hobbs,lead,
campaigning-for-love,jake-hobbs,lead,
caution-cute-baby-alert,jake-hobbs,lead,
the-virgin-camp-counselor,evan-adams,lead,Asher Matthews
my-secret-husband-is-my-boss,jake-hobbs,lead,
why-my-contract-ex-husband-keeps-chasing-me,jake-hobbs,lead,
step-aside-i-m-the-king-of-capital,evan-adams,lead,
summer-situationship,evan-adams,lead,
kissed-by-claw-and-fang,evan-adams,lead,
the-virgin-s-bucket-list,noah-fearnley,lead,
oops-i-m-in-love-with-my-stepbrother,evan-adams,lead,
fated-to-my-billionaire-call-boy,noah-fearnley,lead,
the-bad-boy-who-ruined-me,evan-adams,lead,
foulplay-for-my-brother-s-best-friend,evan-adams,lead,
accidentally-slept-with-the-young-mafia-boss,evan-adams,lead,Vincent
dear-stranger-i-love-you,evan-adams,lead,
wild-ride-with-the-dangerous-kian,evan-adams,lead,Kian Wilder
the-senator-s-son,evan-adams,lead,Zach Walker
mated-to-the-alpha,evan-adams,lead,
married-the-mafioso-i-saved,noah-fearnley,lead,
tutoring-my-rival-boy,evan-adams,lead,
you-fired-a-genius-surgeon,jesse-morales,lead,
mr-hills-adorable-wife,jesse-morales,lead,
dominated-by-my-dad-s-boss,jesse-morales,lead,
queen-of-the-court,jesse-morales,lead,
swapped-my-ex-for-his-billionaire-uncle,jesse-morales,lead,
meet-my-brothers,jesse-morales,lead,
rented-a-billionaire-husband-for-christmas,jesse-morales,lead,
